,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
32,Suíça,1194,4860,2483,0,0,0,0,1125,6,138,559,4510,735,7,0,2109,17726,0.00113
33,Ucrânia,0,0,0,0,0,0,0,0,5319,865,0,4646,0,0,0,0,10830,0.00069
34,Macedônia,0,0,0,0,0,0,252,0,0,0,0,1323,0,0,0,8522,10097,0.00064
35,China,6858,0,0,0,0,0,0,0,108,1000,5,317,0,0,0,0,8288,0.00053
36,México,0,0,7004,0,0,0,0,0,0,0,134,646,33,4,0,0,7821,0.0005
37,Armênia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2385,3542,5927,0.00038
38,Canada,396,0,0,2322,0,0,1530,0,0,0,301,0,0,0,884,14,5447,0.00035
39,"Tcheca, República",0,0,0,0,0,0,0,0,0,0,0,0,0,225,4950,0,5175,0.00033
40,Bélgica,0,0,0,0,0,0,0,0,7,4376,163,7,0,0,0,0,4553,0.00029
41,"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,1838,1788,0,3626,0.00023
42,Sérvia,0,0,0,0,0,0,0,0,0,0,0,0,0,3471,0,0,3471,0.00022
43,Países Baixos (Holanda),0,0,0,0,0,0,0,0,0,0,283,634,2285,0,0,9,3211,0.0002
44,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,563,0,0,2510,0,8,3081,0.0002
45,Emirados Árabes Unidos,0,0,0,0,0,0,35,529,2175,0,0,0,0,0,0,0,2739,0.00017
46,Síria,0,0,0,0,0,0,0,0,0,398,0,641,0,484,1094,0,2617,0.00017
47,Porto Rico,0,0,0,0,0,0,0,0,0,0,47,21,54,0,0,2021,2143,0.00014
48,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,1218,8e-05
49,Bolívia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,1170,7e-05
50,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,0,0,1095,7e-05
51,Noruega,0,0,0,0,0,0,0,0,396,5,0,0,0,0,0,0,401,3e-05
52,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320,2e-05
53,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,311,2e-05
54,Indonésia,0,0,0,0,0,0,0,0,0,0,36,258,0,0,0,0,294,2e-05
55,Irlanda,0,0,0,0,0,0,0,0,0,0,107,179,0,0,0,0,286,2e-05
56,Japão,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,86,239,2e-05
57,Panamá,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0.0
58,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,17,0.0
59,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0
60,Luxemburgo,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0.0
61,Republica Dominicana,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0
62,Iugoslávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,"Coreia do Sul, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
