,País,Ano,Quantidade,Valor
170,Itália,2010,11911190,28683242
171,Japão,2010,0,0
172,Iugoslávia,2010,0,0
173,Líbano,2010,15741,123283
174,Luxemburgo,2010,0,0
175,Macedônia,2010,0,0
176,Marrocos,2010,0,0
177,México,2010,7004,63663
178,Moldávia,2010,0,0
179,Montenegro,2010,0,0
180,Noruega,2010,0,0
181,Nova Zelândia,2010,102683,947043
182,Países Baixos (Holanda),2010,0,0
183,Panamá,2010,0,0
184,Peru,2010,33,252
185,Porto Rico,2010,0,0
186,Portugal,2010,7801759,29299792
187,Reino Unido,2010,621,22292
188,Republica Dominicana,2010,0,0
189,Romênia,2010,0,0
190,Rússia,2010,0,0
191,San Marino,2010,0,0
192,Sérvia,2010,0,0
193,Síria,2010,0,0
194,Suazilândia,2010,0,0
195,Suíça,2010,2483,8010
196,"Tcheca, República",2010,0,0
197,Tunísia,2010,0,0
198,Turquia,2010,0,0
199,Ucrânia,2010,0,0
200,Uruguai,2010,1219387,3175051
201,Não consta na tabela,2010,0,0
202,Não declarados,2010,0,0
203,Outros,2010,0,0
204,Africa do Sul,2011,507509,2136394
205,Alemanha,2011,198025,933545
206,Argélia,2011,0,0
207,Arábia Saudita,2011,0,0
208,Argentina,2011,16673491,58806736
209,Armênia,2011,0,0
210,Austrália,2011,824440,2811273
211,Áustria,2011,6357,56227
212,Bermudas,2011,0,0
213,Bélgica,2011,0,0
214,Bolívia,2011,0,0
215,Bósnia-Herzegovina,2011,0,0
216,Brasil,2011,93,1164
217,Bulgária,2011,1097,2527
218,Canada,2011,2322,35032
219,Chile,2011,26642889,84952500
220,China,2011,0,0
221,"Coreia do Sul, República",2011,0,0
222,Croácia,2011,450,12388
223,Cuba,2011,0,0
224,Emirados Árabes Unidos,2011,0,0
225,Eslovênia,2011,3600,62602
226,Eslováquia,2011,0,0
227,Espanha,2011,1999970,11175636
228,Estados Unidos,2011,369806,1756901
229,França,2011,3329437,22917012
230,Geórgia,2011,0,0
231,"Geórgia do Sul e Sandwich do Sul, Ilhas",2011,0,0
232,Grécia,2011,82207,414329
233,Hong Kong,2011,0,0
234,Hungria,2011,15073,256240
235,Indonésia,2011,0,0
236,Irlanda,2011,0,0
237,Israel,2011,16382,68676
238,Itália,2011,12025827,35481781
239,Japão,2011,0,0
240,Iugoslávia,2011,0,0
241,Líbano,2011,17685,137954
242,Luxemburgo,2011,0,0
243,Macedônia,2011,0,0
244,Marrocos,2011,0,0
245,México,2011,0,0
