,País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total,percentual
45,Sérvia,0,0,0,0,0,0,0,0,0,0,0,0,0,8302,0,0,8302,0.00017
46,Síria,0,0,0,0,0,0,0,0,0,269,0,409,0,1280,5187,0,7145,0.00015
47,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6968,6968,0.00014
48,Porto Rico,0,0,0,0,0,0,0,0,0,0,404,115,1090,0,0,4481,6090,0.00012
49,"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,2915,2797,0,5712,0.00012
50,Japão,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,3427,4856,0.0001
51,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,2776,0,0,0,2776,6e-05
52,Irlanda,0,0,0,0,0,0,0,0,43,0,954,1705,0,0,0,0,2702,6e-05
53,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,0,0,2237,5e-05
54,Indonésia,0,0,0,0,0,0,0,0,43,0,210,1464,0,0,0,0,1717,4e-05
55,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,141,4,879,1024,2e-05
56,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,902,2e-05
57,Noruega,0,0,0,0,0,0,0,0,253,27,0,0,0,0,0,0,280,1e-05
58,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,1e-05
59,Panamá,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,96,0.0
60,Luxemburgo,0,0,0,0,0,0,0,0,43,0,42,0,0,0,0,0,85,0.0
61,Republica Dominicana,0,0,0,0,0,0,0,0,43,0,13,0,0,0,0,0,56,0.0
62,Argélia,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,43,0.0
63,Iugoslávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,"Coreia do Sul, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
