,Categoria,Nome Produto,Tipo,Ano,Total_Produzido,Total_Comercializado
108,espumante,base espumante moscatel,derivado,2009,442150,0
109,outros,base champenoise champanha,derivado,2009,0,0
110,outros,base charmat champanha,derivado,2009,0,0
111,outros,bebida de uva,derivado,2009,420,0
112,outros,polpa de uva,derivado,2009,1352417,0
113,outros,mosto simples,derivado,2009,53418555,0
114,outros,mosto concentrado,derivado,2009,0,0
115,outros,mosto de uva com bagaço,derivado,2009,0,0
116,outros,mosto dessulfitado,derivado,2009,0,0
117,outros,mistelas,derivado,2009,3500,7034
118,outros,néctar de uva,derivado,2009,0,0
119,outros,licorosos,derivado,2009,38000,0
120,outros,compostos,derivado,2009,0,0
121,outros,jeropiga,derivado,2009,0,14443
122,outros,filtrado,derivado,2009,0,0
123,outros,frisante,derivado,2009,0,0
124,vinho,vinho leve,derivado,2009,0,0
125,vinho,vinho licoroso,derivado,2009,0,591313
126,outros,brandy,derivado,2009,0,7151
127,outros,destilado,derivado,2009,0,100
128,outros,bagaceira,derivado,2009,6500,21133
129,outros,licor de bagaceira,derivado,2009,0,0
130,outros,vinagre,derivado,2009,0,0
131,outros,borra líquida,derivado,2009,0,0
132,outros,borra seca,derivado,2009,0,0
133,vinho,vinho composto,derivado,2009,0,542123
134,outros,pisco,derivado,2009,0,0
135,vinho,vinho orgânico,derivado,2009,0,0
136,espumante,espumante orgânico,derivado,2009,0,0
137,outros,destilado alcoólico simples de bagaceira ,derivado,2009,0,0
138,vinho,vinho acidificado ,derivado,2009,0,0
139,outros,mosto parcialmente fermentado ,derivado,2009,0,0
140,outros,outros derivados,derivado,2009,0,0
141,vinho,tinto,vinho mesa,2010,157290088,188649074
142,vinho,branco,vinho mesa,2010,35408083,30556943
143,vinho,rosado,vinho mesa,2010,2569809,2036928
144,vinho,tinto,vinho fino vinífera,2010,11401406,15184398
145,vinho,branco,vinho fino vinífera,2010,13013027,5968959
146,vinho,rosado,vinho fino vinífera,2010,391280,236802
147,suco,suco de uva integral,suco de uva,2010,26887259,0
148,suco,suco de uva concentrado,suco de uva,2010,23238685,0
149,suco,suco de uva adoçado,suco de uva,2010,0,0
150,suco,suco de uva orgânico,suco de uva,2010,0,0
151,suco,suco de uva reconstituído,suco de uva,2010,0,0
152,espumante,espumante,derivado,2010,10125,0
153,espumante,espumante moscatel,derivado,2010,703393,2946179
154,espumante,base espumante,derivado,2010,0,18418
155,espumante,base espumante moscatel,derivado,2010,1144508,0
156,outros,base champenoise champanha,derivado,2010,92082,0
157,outros,base charmat champanha,derivado,2010,254000,0
158,outros,bebida de uva,derivado,2010,7900,0
159,outros,polpa de uva,derivado,2010,1951606,0
160,outros,mosto simples,derivado,2010,45912040,0
161,outros,mosto concentrado,derivado,2010,0,0
162,outros,mosto de uva com bagaço,derivado,2010,0,0
163,outros,mosto dessulfitado,derivado,2010,0,0
164,outros,mistelas,derivado,2010,0,26577
165,outros,néctar de uva,derivado,2010,0,0
166,outros,licorosos,derivado,2010,0,0
167,outros,compostos,derivado,2010,0,0
168,outros,jeropiga,derivado,2010,69000,37310
169,outros,filtrado,derivado,2010,0,0
170,outros,frisante,derivado,2010,831000,0
171,vinho,vinho leve,derivado,2010,0,0
172,vinho,vinho licoroso,derivado,2010,15000,638487
173,outros,brandy,derivado,2010,0,6448
174,outros,destilado,derivado,2010,0,31814
175,outros,bagaceira,derivado,2010,0,16413
176,outros,licor de bagaceira,derivado,2010,0,0
177,outros,vinagre,derivado,2010,5817,0
178,outros,borra líquida,derivado,2010,64304,0
179,outros,borra seca,derivado,2010,149981,46000
180,vinho,vinho composto,derivado,2010,0,661586
181,outros,pisco,derivado,2010,0,0
182,vinho,vinho orgânico,derivado,2010,0,0
183,espumante,espumante orgânico,derivado,2010,0,0
184,outros,destilado alcoólico simples de bagaceira ,derivado,2010,0,0
185,vinho,vinho acidificado ,derivado,2010,0,0
186,outros,mosto parcialmente fermentado ,derivado,2010,0,0
187,outros,outros derivados,derivado,2010,0,0
188,vinho,tinto,vinho mesa,2011,210113358,196562722
189,vinho,branco,vinho mesa,2011,46007504,32078923
190,vinho,rosado,vinho mesa,2011,1719887,1668823
191,vinho,tinto,vinho fino vinífera,2011,24104740,14876896
192,vinho,branco,vinho fino vinífera,2011,22739426,4878930
193,vinho,rosado,vinho fino vinífera,2011,754305,211484
194,suco,suco de uva integral,suco de uva,2011,39487800,0
195,suco,suco de uva concentrado,suco de uva,2011,29564324,0
196,suco,suco de uva adoçado,suco de uva,2011,312200,0
197,suco,suco de uva orgânico,suco de uva,2011,0,0
198,suco,suco de uva reconstituído,suco de uva,2011,0,0
199,espumante,espumante,derivado,2011,26361,0
200,espumante,espumante moscatel,derivado,2011,219100,2996441
201,espumante,base espumante,derivado,2011,0,22162
202,espumante,base espumante moscatel,derivado,2011,2749540,0
203,outros,base champenoise champanha,derivado,2011,74746,0
204,outros,base charmat champanha,derivado,2011,865858,0
205,outros,bebida de uva,derivado,2011,0,0
206,outros,polpa de uva,derivado,2011,2480120,0
207,outros,mosto simples,derivado,2011,77285998,0
208,outros,mosto concentrado,derivado,2011,0,0
209,outros,mosto de uva com bagaço,derivado,2011,1037600,0
210,outros,mosto dessulfitado,derivado,2011,0,0
211,outros,mistelas,derivado,2011,0,983
212,outros,néctar de uva,derivado,2011,0,0
213,outros,licorosos,derivado,2011,0,0
214,outros,compostos,derivado,2011,0,0
215,outros,jeropiga,derivado,2011,0,57887
216,outros,filtrado,derivado,2011,0,0
217,outros,frisante,derivado,2011,1003800,0
218,vinho,vinho leve,derivado,2011,0,0
219,vinho,vinho licoroso,derivado,2011,0,593486
220,outros,brandy,derivado,2011,0,5640
221,outros,destilado,derivado,2011,0,90364
222,outros,bagaceira,derivado,2011,0,18111
223,outros,licor de bagaceira,derivado,2011,0,0
224,outros,vinagre,derivado,2011,0,0
225,outros,borra líquida,derivado,2011,0,0
226,outros,borra seca,derivado,2011,0,73006
227,vinho,vinho composto,derivado,2011,0,662965
228,outros,pisco,derivado,2011,0,0
229,vinho,vinho orgânico,derivado,2011,5600,0
230,espumante,espumante orgânico,derivado,2011,0,0
231,outros,destilado alcoólico simples de bagaceira ,derivado,2011,0,0
232,vinho,vinho acidificado ,derivado,2011,0,0
233,outros,mosto parcialmente fermentado ,derivado,2011,0,0
234,outros,outros derivados,derivado,2011,0,0
235,vinho,tinto,vinho mesa,2012,175875432,173964776
236,vinho,branco,vinho mesa,2012,34938249,31266661
237,vinho,rosado,vinho mesa,2012,1963356,1738134
238,vinho,tinto,vinho fino vinífera,2012,24027589,15443016
239,vinho,branco,vinho fino vinífera,2012,20647238,6876128
240,vinho,rosado,vinho fino vinífera,2012,525903,150806
241,suco,suco de uva integral,suco de uva,2012,31908829,0
242,suco,suco de uva concentrado,suco de uva,2012,37624855,0
243,suco,suco de uva adoçado,suco de uva,2012,533048,0
244,suco,suco de uva orgânico,suco de uva,2012,0,0
245,suco,suco de uva reconstituído,suco de uva,2012,0,0
246,espumante,espumante,derivado,2012,17200,0
247,espumante,espumante moscatel,derivado,2012,139775,3610289
248,espumante,base espumante,derivado,2012,0,25921
249,espumante,base espumante moscatel,derivado,2012,2798908,0
250,outros,base champenoise champanha,derivado,2012,369278,0
251,outros,base charmat champanha,derivado,2012,479625,0
252,outros,bebida de uva,derivado,2012,0,0
253,outros,polpa de uva,derivado,2012,2797665,0
254,outros,mosto simples,derivado,2012,93341575,0
255,outros,mosto concentrado,derivado,2012,0,0
256,outros,mosto de uva com bagaço,derivado,2012,0,0
257,outros,mosto dessulfitado,derivado,2012,0,0
258,outros,mistelas,derivado,2012,200,5097
259,outros,néctar de uva,derivado,2012,0,0
260,outros,licorosos,derivado,2012,26775,0
261,outros,compostos,derivado,2012,7600,0
262,outros,jeropiga,derivado,2012,0,55050
263,outros,filtrado,derivado,2012,0,0
264,outros,frisante,derivado,2012,778500,0
265,vinho,vinho leve,derivado,2012,0,0
266,vinho,vinho licoroso,derivado,2012,0,645341
267,outros,brandy,derivado,2012,0,5495
268,outros,destilado,derivado,2012,0,30000
269,outros,bagaceira,derivado,2012,0,14710
270,outros,licor de bagaceira,derivado,2012,0,0
271,outros,vinagre,derivado,2012,0,0
272,outros,borra líquida,derivado,2012,0,0
273,outros,borra seca,derivado,2012,0,89000
274,vinho,vinho composto,derivado,2012,0,510914
275,outros,pisco,derivado,2012,0,0
276,vinho,vinho orgânico,derivado,2012,0,0
277,espumante,espumante orgânico,derivado,2012,0,0
278,outros,destilado alcoólico simples de bagaceira ,derivado,2012,0,0
279,vinho,vinho acidificado ,derivado,2012,0,0
280,outros,mosto parcialmente fermentado ,derivado,2012,0,0
281,outros,outros derivados,derivado,2012,0,0
282,vinho,tinto,vinho mesa,2013,163111797,188033494
283,vinho,branco,vinho mesa,2013,32066403,31779668
284,vinho,rosado,vinho mesa,2013,1726022,1777648
285,vinho,tinto,vinho fino vinífera,2013,23156458,19121750
286,vinho,branco,vinho fino vinífera,2013,21906349,8576915
287,vinho,rosado,vinho fino vinífera,2013,719723,214269
288,suco,suco de uva integral,suco de uva,2013,33673396,0
289,suco,suco de uva concentrado,suco de uva,2013,31206394,0
290,suco,suco de uva adoçado,suco de uva,2013,0,0
291,suco,suco de uva orgânico,suco de uva,2013,0,0
292,suco,suco de uva reconstituído,suco de uva,2013,0,0
293,espumante,espumante,derivado,2013,30275,0
294,espumante,espumante moscatel,derivado,2013,159781,3783531
295,espumante,base espumante,derivado,2013,0,26483
296,espumante,base espumante moscatel,derivado,2013,1470700,0
297,outros,base champenoise champanha,derivado,2013,359617,0
298,outros,base charmat champanha,derivado,2013,624728,0
299,outros,bebida de uva,derivado,2013,4260,0
300,outros,polpa de uva,derivado,2013,1742152,0
301,outros,mosto simples,derivado,2013,58517506,0
302,outros,mosto concentrado,derivado,2013,0,0
303,outros,mosto de uva com bagaço,derivado,2013,0,0
304,outros,mosto dessulfitado,derivado,2013,0,0
305,outros,mistelas,derivado,2013,2500,1655
306,outros,néctar de uva,derivado,2013,10000,0
307,outros,licorosos,derivado,2013,0,0
308,outros,compostos,derivado,2013,0,0
309,outros,jeropiga,derivado,2013,0,94860
310,outros,filtrado,derivado,2013,0,0
311,outros,frisante,derivado,2013,1009000,0
312,vinho,vinho leve,derivado,2013,0,0
313,vinho,vinho licoroso,derivado,2013,100,609153
314,outros,brandy,derivado,2013,0,6276
315,outros,destilado,derivado,2013,0,24838
316,outros,bagaceira,derivado,2013,0,17075
317,outros,licor de bagaceira,derivado,2013,0,0
318,outros,vinagre,derivado,2013,0,0
319,outros,borra líquida,derivado,2013,63111,0
320,outros,borra seca,derivado,2013,78397,62825
321,vinho,vinho composto,derivado,2013,0,595513
322,outros,pisco,derivado,2013,0,0
323,vinho,vinho orgânico,derivado,2013,0,0
324,espumante,espumante orgânico,derivado,2013,0,0
325,outros,destilado alcoólico simples de bagaceira ,derivado,2013,0,0
326,vinho,vinho acidificado ,derivado,2013,0,0
327,outros,mosto parcialmente fermentado ,derivado,2013,0,0
328,outros,outros derivados,derivado,2013,0,0
329,vinho,tinto,vinho mesa,2014,157776363,178250072
330,vinho,branco,vinho mesa,2014,37438069,26734500
331,vinho,rosado,vinho mesa,2014,958691,1419855
332,vinho,tinto,vinho fino vinífera,2014,17208996,15354938
333,vinho,branco,vinho fino vinífera,2014,20054804,4905826
334,vinho,rosado,vinho fino vinífera,2014,1200514,164219
335,suco,suco de uva integral,suco de uva,2014,43331223,0
336,suco,suco de uva concentrado,suco de uva,2014,33392314,0
337,suco,suco de uva adoçado,suco de uva,2014,0,0
338,suco,suco de uva orgânico,suco de uva,2014,0,0
339,suco,suco de uva reconstituído,suco de uva,2014,0,0
340,espumante,espumante,derivado,2014,2700,0
341,espumante,espumante moscatel,derivado,2014,100000,4588465
342,espumante,base espumante,derivado,2014,0,37395
343,espumante,base espumante moscatel,derivado,2014,1808044,0
344,outros,base champenoise champanha,derivado,2014,234725,0
345,outros,base charmat champanha,derivado,2014,376968,0
346,outros,bebida de uva,derivado,2014,3860,0
347,outros,polpa de uva,derivado,2014,2484000,0
348,outros,mosto simples,derivado,2014,57582195,0
349,outros,mosto concentrado,derivado,2014,0,0
350,outros,mosto de uva com bagaço,derivado,2014,0,0
351,outros,mosto dessulfitado,derivado,2014,0,0
352,outros,mistelas,derivado,2014,1000,948
353,outros,néctar de uva,derivado,2014,1140,0
354,outros,licorosos,derivado,2014,0,0
355,outros,compostos,derivado,2014,0,0
356,outros,jeropiga,derivado,2014,0,64937
357,outros,filtrado,derivado,2014,0,0
358,outros,frisante,derivado,2014,26069,0
359,vinho,vinho leve,derivado,2014,0,0
360,vinho,vinho licoroso,derivado,2014,36000,616904
361,outros,brandy,derivado,2014,0,6625
362,outros,destilado,derivado,2014,0,150
363,outros,bagaceira,derivado,2014,0,14472
364,outros,licor de bagaceira,derivado,2014,0,0
365,outros,vinagre,derivado,2014,53776,0
366,outros,borra líquida,derivado,2014,50954,0
367,outros,borra seca,derivado,2014,142850,106400
368,vinho,vinho composto,derivado,2014,3000,450121
369,outros,pisco,derivado,2014,0,0
370,vinho,vinho orgânico,derivado,2014,0,0
371,espumante,espumante orgânico,derivado,2014,0,0
372,outros,destilado alcoólico simples de bagaceira ,derivado,2014,0,0
373,vinho,vinho acidificado ,derivado,2014,0,0
374,outros,mosto parcialmente fermentado ,derivado,2014,0,0
375,outros,outros derivados,derivado,2014,0,0
376,vinho,tinto,vinho mesa,2015,169811472,182028785
377,vinho,branco,vinho mesa,2015,39557250,25760681
378,vinho,rosado,vinho mesa,2015,939838,1409002
379,vinho,tinto,vinho fino vinífera,2015,16745896,15572632
380,vinho,branco,vinho fino vinífera,2015,19561966,4399814
381,vinho,rosado,vinho fino vinífera,2015,841120,169185
382,suco,suco de uva integral,suco de uva,2015,52233155,0
383,suco,suco de uva concentrado,suco de uva,2015,35661313,0
384,suco,suco de uva adoçado,suco de uva,2015,0,0
385,suco,suco de uva orgânico,suco de uva,2015,0,0
386,suco,suco de uva reconstituído,suco de uva,2015,0,0
387,espumante,espumante,derivado,2015,23750,0
388,espumante,espumante moscatel,derivado,2015,110100,5010704
389,espumante,base espumante,derivado,2015,0,77054
390,espumante,base espumante moscatel,derivado,2015,1607727,0
391,outros,base champenoise champanha,derivado,2015,605001,0
392,outros,base charmat champanha,derivado,2015,1466259,0
393,outros,bebida de uva,derivado,2015,922,0
394,outros,polpa de uva,derivado,2015,2371140,0
395,outros,mosto simples,derivado,2015,100911592,0
396,outros,mosto concentrado,derivado,2015,0,0
397,outros,mosto de uva com bagaço,derivado,2015,0,0
398,outros,mosto dessulfitado,derivado,2015,0,0
399,outros,mistelas,derivado,2015,0,1144
400,outros,néctar de uva,derivado,2015,1000,0
401,outros,licorosos,derivado,2015,0,0
402,outros,compostos,derivado,2015,0,0
403,outros,jeropiga,derivado,2015,0,58860
404,outros,filtrado,derivado,2015,0,0
405,outros,frisante,derivado,2015,0,0
406,vinho,vinho leve,derivado,2015,0,0
407,vinho,vinho licoroso,derivado,2015,56000,510975
408,outros,brandy,derivado,2015,0,8118
409,outros,destilado,derivado,2015,0,0
410,outros,bagaceira,derivado,2015,1350,16268
411,outros,licor de bagaceira,derivado,2015,0,0
412,outros,vinagre,derivado,2015,25800,0
413,outros,borra líquida,derivado,2015,48833,0
414,outros,borra seca,derivado,2015,120230,128754
415,vinho,vinho composto,derivado,2015,0,413735
416,outros,pisco,derivado,2015,0,0
417,vinho,vinho orgânico,derivado,2015,0,0
418,espumante,espumante orgânico,derivado,2015,0,0
419,outros,destilado alcoólico simples de bagaceira ,derivado,2015,0,0
420,vinho,vinho acidificado ,derivado,2015,0,0
421,outros,mosto parcialmente fermentado ,derivado,2015,0,0
422,outros,outros derivados,derivado,2015,0,0
423,vinho,tinto,vinho mesa,2016,75279191,146646365
424,vinho,branco,vinho mesa,2016,10727099,18731315
425,vinho,rosado,vinho mesa,2016,312725,1391942
426,vinho,tinto,vinho fino vinífera,2016,8774847,15228514
427,vinho,branco,vinho fino vinífera,2016,8705066,4229293
428,vinho,rosado,vinho fino vinífera,2016,590713,172351
429,suco,suco de uva integral,suco de uva,2016,31117869,0
430,suco,suco de uva concentrado,suco de uva,2016,11092520,0
431,suco,suco de uva adoçado,suco de uva,2016,0,0
432,suco,suco de uva orgânico,suco de uva,2016,0,0
433,suco,suco de uva reconstituído,suco de uva,2016,0,0
434,espumante,espumante,derivado,2016,1500,0
435,espumante,espumante moscatel,derivado,2016,100000,4507467
436,espumante,base espumante,derivado,2016,0,131739
437,espumante,base espumante moscatel,derivado,2016,1325700,0
438,outros,base champenoise champanha,derivado,2016,740395,0
439,outros,base charmat champanha,derivado,2016,250280,0
440,outros,bebida de uva,derivado,2016,3474,0
441,outros,polpa de uva,derivado,2016,1620430,0
442,outros,mosto simples,derivado,2016,49770993,0
443,outros,mosto concentrado,derivado,2016,0,0
444,outros,mosto de uva com bagaço,derivado,2016,0,0
445,outros,mosto dessulfitado,derivado,2016,0,0
446,outros,mistelas,derivado,2016,0,835
447,outros,néctar de uva,derivado,2016,0,0
448,outros,licorosos,derivado,2016,0,0
449,outros,compostos,derivado,2016,0,0
450,outros,jeropiga,derivado,2016,0,14429
451,outros,filtrado,derivado,2016,0,0
452,outros,frisante,derivado,2016,0,0
453,vinho,vinho leve,derivado,2016,0,0
454,vinho,vinho licoroso,derivado,2016,24200,546189
455,outros,brandy,derivado,2016,0,8253
456,outros,destilado,derivado,2016,0,6700
457,outros,bagaceira,derivado,2016,1000,9301
458,outros,licor de bagaceira,derivado,2016,0,0
459,outros,vinagre,derivado,2016,5000,0
460,outros,borra líquida,derivado,2016,24975,0
461,outros,borra seca,derivado,2016,82367,57292
